cardNumber;name;team;nationality;speciality;rarity;season;ftp;sprint;climbing;endurance;ttRating;imageUrl
UCI-2025-001;Tadej Pogacar;UAE Team Emirates XRG;SVN;gc;legendary;2025;6.2;1450;97;96;94;
UCI-2025-002;Jonas Vingegaard;Visma Lease a Bike;DEN;gc;legendary;2025;6.1;1280;96;97;93;
UCI-2025-003;Wout van Aert;Visma Lease a Bike;BEL;rouleur;legendary;2025;5.8;1820;82;94;88;
UCI-2025-004;Remco Evenepoel;Soudal Quick-Step;BEL;gc;legendary;2025;5.9;1380;88;91;97;
UCI-2025-005;Mathieu van der Poel;Alpecin Deceuninck;NED;rouleur;legendary;2025;5.7;1750;78;90;80;
UCI-2025-006;Primož Roglič;Red Bull Bora Hansgrohe;SVN;gc;epic;2025;5.8;1320;89;92;91;
UCI-2025-007;Biniam Girmay;Intermarché Wanty;ERI;sprinter;epic;2025;5.2;1880;55;85;62;
UCI-2025-008;Jasper Philipsen;Alpecin Deceuninck;BEL;sprinter;epic;2025;5.0;1940;45;82;60;
UCI-2025-009;Felix Gall;Decathlon AG2R La Mondiale;AUT;climber;epic;2025;5.7;1180;92;88;78;
UCI-2025-010;Florian Lipowitz;Red Bull Bora Hansgrohe;GER;gc;epic;2025;5.6;1220;88;89;84;
UCI-2025-011;Oscar Onley;Team Picnic PostNL;GBR;climber;epic;2025;5.6;1190;90;87;80;
UCI-2025-012;Ben Healy;EF Education EasyPost;IRL;puncheur;epic;2025;5.5;1350;85;86;82;
UCI-2025-013;Tobias Halland Johannessen;Uno-X Mobility;NOR;climber;epic;2025;5.6;1210;89;88;79;
UCI-2025-014;Kévin Vauquelin;Arkéa B&B Hotels;FRA;gc;epic;2025;5.5;1230;86;87;80;
UCI-2025-015;Sergio Higuita;XDS Astana Team;COL;climber;epic;2025;5.5;1250;88;86;76;
UCI-2025-016;João Almeida;UAE Team Emirates XRG;POR;gc;epic;2025;5.7;1290;87;90;89;
UCI-2025-017;Thymen Arensman;Ineos Grenadiers;NED;climber;epic;2025;5.6;1200;89;87;82;
UCI-2025-018;Jhonatan Narváez;UAE Team Emirates XRG;ECU;puncheur;rare;2025;5.4;1380;78;86;74;
UCI-2025-019;Guillaume Martin;Groupama FDJ;FRA;climber;rare;2025;5.3;1150;84;82;72;
UCI-2025-020;Simon Yates;Visma Lease a Bike;GBR;climber;rare;2025;5.5;1210;86;85;74;
UCI-2025-021;Valentin Madouas;Groupama FDJ;FRA;puncheur;rare;2025;5.1;1380;74;80;69;
UCI-2025-022;Matteo Jorgenson;Visma Lease a Bike;USA;rouleur;rare;2025;5.4;1310;76;86;80;
UCI-2025-023;Sepp Kuss;Visma Lease a Bike;USA;climber;rare;2025;5.4;1190;85;85;72;
UCI-2025-024;Ben O'Connor;Team Jayco AlUla;AUS;climber;rare;2025;5.5;1210;87;84;74;
UCI-2025-025;Warren Barguil;Team Picnic PostNL;FRA;climber;rare;2025;5.3;1180;84;82;70;
UCI-2025-026;Xandro Meurisse;Alpecin Deceuninck;BEL;puncheur;rare;2025;5.2;1350;76;81;70;
UCI-2025-027;Gregor Mühlberger;Movistar Team;AUT;rouleur;rare;2025;5.2;1290;72;82;74;
UCI-2025-028;Adam Yates;UAE Team Emirates XRG;GBR;gc;rare;2025;5.5;1240;84;85;76;
UCI-2025-029;Aurélien Paret-Peintre;Decathlon AG2R La Mondiale;FRA;climber;rare;2025;5.3;1200;82;82;72;
UCI-2025-030;Raúl García Pierna;Arkéa B&B Hotels;ESP;climber;rare;2025;5.3;1220;82;82;70;
UCI-2025-031;Cristián Rodríguez;Arkéa B&B Hotels;ESP;puncheur;rare;2025;5.2;1310;76;80;68;
UCI-2025-032;Einer Rubio;Movistar Team;COL;climber;rare;2025;5.4;1180;85;83;70;
UCI-2025-033;Callum Scotson;Decathlon AG2R La Mondiale;AUS;rouleur;rare;2025;5.2;1350;65;83;80;
UCI-2025-034;Romain Grégoire;Groupama FDJ;FRA;puncheur;rare;2025;5.2;1400;74;80;68;
UCI-2025-035;Frank van den Broek;Team Picnic PostNL;NED;rouleur;rare;2025;5.1;1380;68;80;72;
UCI-2025-036;Victor Campenaerts;Visma Lease a Bike;BEL;rouleur;rare;2025;5.3;1310;62;84;90;
